Year,Value,Observation status,Unit multiplier
2009/10,1.0717783736125268,Undefined,Units
2010/11,1.134806786575523,Undefined,Units
2011/12,0.9346459917039042,Undefined,Units
2012/13,0.9581388771036627,Undefined,Units
2013/14,0.9148660268258736,Undefined,Units
2014/15,0.8779164200575055,Undefined,Units
2015/16,0.932877510954271,Undefined,Units
2016/17,1.1561937806126923,Undefined,Units
2017/18,1.184789851730189,Undefined,Units
2018/19,1.0758543454932672,Undefined,Units
2019/20,1.1322372334784212,Undefined,Units
2020/21,0.9946462579096982,Undefined,Units
