Year,Value,GeoCode,Observation status,Unit multiplier
2000,6.74862550248518,,Undefined,Units
2001,8.685058464958038,,Undefined,Units
2002,10.57176523060623,,Undefined,Units
2003,12.21564010406887,,Undefined,Units
2004,12.743875917083672,,Undefined,Units
2005,13.124598639544065,,Undefined,Units
2006,12.200180883587374,,Undefined,Units
2007,11.839708932334675,,Undefined,Units
2008,11.615273167091775,,Undefined,Units
2009,10.544408535455377,,Undefined,Units
2010,10.084536105602954,,Undefined,Units
2011,9.751103517263015,,Undefined,Units
2012,9.718227901313288,,Undefined,Units
2013,9.331470200740796,,Undefined,Units
2014,9.718754899627152,,Undefined,Units
2015,9.631387997739337,,Undefined,Units
2016,8.178460248037208,,Undefined,Units
2017,7.209242112107153,,Undefined,Units
2018,6.702736712498053,,Undefined,Units
