Year,Value,SERIES
2000,34.5,IC_GEN_MGTL
2001,30.85,IC_GEN_MGTL
2002,32.5,IC_GEN_MGTL
2003,32.3,IC_GEN_MGTL
2004,33.07,IC_GEN_MGTL
2005,34.32,IC_GEN_MGTL
2006,34.6,IC_GEN_MGTL
2007,34.44,IC_GEN_MGTL
2008,34.87,IC_GEN_MGTL
2009,35.56,IC_GEN_MGTL
2010,35.68,IC_GEN_MGTL
2011,34.56,IC_GEN_MGTL
2012,34.38,IC_GEN_MGTL
2013,33.95,IC_GEN_MGTL
2014,35.29,IC_GEN_MGTL
2015,35.36,IC_GEN_MGTL
2016,35.99,IC_GEN_MGTL
2017,36.15,IC_GEN_MGTL
2018,36.28,IC_GEN_MGTL
2019,36.83,IC_GEN_MGTL
2000,34.69,IC_GEN_MGTN
2001,29.62,IC_GEN_MGTN
2002,31.39,IC_GEN_MGTN
2003,31.47,IC_GEN_MGTN
2004,32.46,IC_GEN_MGTN
2005,33.61,IC_GEN_MGTN
2006,34.26,IC_GEN_MGTN
2007,34.35,IC_GEN_MGTN
2008,34.75,IC_GEN_MGTN
2009,35.38,IC_GEN_MGTN
2010,35.98,IC_GEN_MGTN
2011,32.12,IC_GEN_MGTN
2012,32.39,IC_GEN_MGTN
2013,32.31,IC_GEN_MGTN
2014,32.86,IC_GEN_MGTN
2015,32.4,IC_GEN_MGTN
2016,33.78,IC_GEN_MGTN
2017,34.36,IC_GEN_MGTN
2018,34.22,IC_GEN_MGTN
2019,34.91,IC_GEN_MGTN
