Value,Disaggregation combinations using this value,Number of indicators
2020 dataset disaggregated into relevant themes,1,1
99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),1,1
99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),1,1
99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),1,1
"ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
"Based on OECD, DAC database, 2021; Constant 2019 USD million; Grant equivalent",1,1
"Based on OECD, DAC database, 2021; Provisional; Grant equivalent",1,1
"Based on public sector database maintained by Oscar Research Ltd, as at 6th of January, 2020.",1,1
"Bicameral: Lower chamber (House of Commons), Data valid as of 1 Jan of given year, based on available age data collected after each election ",1,1
"Bicameral: Lower chamber (House of Commons), Data valid as of 1 Jan of given year, based on available age data collected after each election",1,1
"Bicameral: Lower chamber (House of Commons), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	1 means over-representation of ‘youth’ (45 years and below) in parliament ",1,1
"Bicameral: Lower chamber (House of Commons), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",1,1
"Bicameral: Lower chamber (House of Commons), Data valid as of 1 Jan of given year",6,2
"Bicameral: Upper chamber (House of Lords), Data valid as of 1 Jan of given year, based on available age data collected after each election ",1,1
"Bicameral: Upper chamber (House of Lords), Data valid as of 1 Jan of given year, based on available age data collected after each election",1,1
"Bicameral: Upper chamber (House of Lords), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	1 means over-representation of ‘youth’ (45 years and below) in parliament ",1,1
"Bicameral: Upper chamber (House of Lords), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",1,1
"Bicameral: Upper chamber (House of Lords), Data valid as of 1 Jan of given year",3,1
"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",1,1
Consolidated General Government Expenditure,2,1
Cumulative value.,1,1
"Data in reference to one country but derived from different types of sources should not be compared between them.
",11,1
"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",9,1
Estimate based on the acquisition date of each conserved accession as reported in 2014.,1,1
Estimated breakdown based on data for residential connections.,1,1
Eurostat estimate.,1,1
Eurostat_2021,1,1
Excl. corporate connections.,1,1
"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",1,1
"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",1,1
"Joint Committee, Data valid as of 1 Jan of given year",1,1
