Value,Disaggregation combinations using this value,Number of indicators
ABT2 status: National target reflecting ABT2 exists and progress is on track to achieve it,1,1
Deviation Level: Extreme (75-100%),2,1
Deviation Level: High (50-75%),2,1
Deviation Level: Low (0-25%),2,1
Deviation Level: Medium (25-50%),2,1
Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,1,1
Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,1,1
Fiscal intervention stage: Postfiscal disposable income,1,1
Fiscal intervention stage: Prefiscal income,1,1
Food Waste Sector: Households,2,1
Food Waste Sector: Out-of-home consumption,2,1
Food Waste Sector: Retail,2,1
Frequency of Chlorophyll-a concentration: High,1,1
Frequency of Chlorophyll-a concentration: Moderate,1,1
IHR Capacity: Chemical events,1,1
IHR Capacity: Coordination and National Focal Point communications,1,1
IHR Capacity: Food safety,1,1
IHR Capacity: Human resources,1,1
IHR Capacity: Laboratory,1,1
"IHR Capacity: National legislation, policy and financing",1,1
IHR Capacity: Points of entry,1,1
IHR Capacity: Preparedness,1,1
IHR Capacity: Radionuclear emergencies,1,1
IHR Capacity: Response,1,1
IHR Capacity: Risk communication,1,1
IHR Capacity: Surveillance,1,1
IHR Capacity: Zoonotic events,1,1
International Organisation: African Development Bank,36,2
International Organisation: Asian Development Bank,32,2
International Organisation: Financial Stability Board,28,2
International Organisation: Inter-American Development Bank,32,2
International Organisation: International Bank for Reconstruction and Development,36,2
International Organisation: International Finance Corporation,36,2
International Organisation: International Monetary Fund,36,2
International Organisation: UN Economic and Social Council,32,2
International Organisation: UN General Assembly,4,2
International Organisation: UN Security Council,36,2
International Organisation: World Trade Organisation,24,2
Internet speed: 10 Mbit/s or above,4,1
Internet speed: 2 Mbit/s to less than 10 Mbit/s,5,1
Internet speed: 256 kbit/s to less than 2 Mbit/s,7,1
Level of requirement: Advanced,1,1
Level of requirement: Minimum,1,1
Level/Status: Regular compilation and dissemination,1,1
Migrant Status: EU Migrant,9,1
Migrant Status: Non-EU Migrant,10,1
Migrant Status: Non-migrant,10,1
Mode of Transport: Air,2,1
Mode of transport: Inland waterway transport,2,1
Mode of Transport: Maritime,1,1
Mode of Transport: Rail,4,1
Mode of Transport: Road,4,1
Non-communicable disease: Cancer,15,1
Non-communicable disease: Cardiovascular disease,15,1
Non-communicable disease: Chronic respiratory disease,15,1
Non-communicable disease: Diabetes,15,1
Parliamentary committee: Defence,2,1
Parliamentary committee: Finance,2,1
Parliamentary committee: Foreign Affairs,2,1
Parliamentary committee: Gender Equality,2,1
Parliamentary committee: Human Rights,1,1
Policy Domain 1. Migrant rights,1,1
Policy Domain 2. Whole-of-government/ Evidence-based policies,1,1
Policy Domain 3. Cooperation and partnerships,1,1
Policy Domain 4. Socioeconomic well-being,1,1
Policy Domain 5. Mobility dimensions of crises,1,1
"Policy Domain 6. Safe, orderly and regular migration",1,1
"Policy instruments: Economic and fiscal instruments (taxes and tax incentives, grants, preferential loans, etc.)",1,1
"Policy instruments: Macro policies (e.g. national strategies/action plans, new institutions/entities)",1,1
"Policy instruments: Regulatory and legal instruments (e.g. laws, standards, enforcement measures)",1,1
"Policy instruments: Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives)",1,1
Skill: Functional literacy,6,2
Skill: Functional numeracy,6,2
Skill: ICT Skill: connecting and installing new devices,4,2
Skill: ICT Skill: Copying or moving a file or folder,5,2
Skill: ICT Skill: Creating electronic presentations with presentation software,5,2
"Skill: ICT Skill: Finding, downloading, installing and configuring software",5,2
Skill: ICT Skill: Sending e-mails with attached files,1,1
Skill: ICT Skill: Transferring files between a computer and other devices,5,2
Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,5,2
Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,5,2
Skill: ICT Skill: Writing a computer program using a specialized programming language,5,2
Skill: Mathematics,9,2
Skill: Reading,9,2
State Party Annual Report: Chemical events ,1,1
State Party Annual Report: Food safety ,1,1
State Party Annual Report: Health Service Provision ,1,1
State Party Annual Report: Human resources ,1,1
State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,1,1
State Party Annual Report: Laboratory ,1,1
State Party Annual Report: Legislation and Financing,1,1
State Party Annual Report: National Health Emergency Framework ,1,1
State Party Annual Report: Points of entry ,1,1
State Party Annual Report: Radiation emergencies ,1,1
State Party Annual Report: Risk Communication ,1,1
State Party Annual Report: Surveillance ,1,1
State Party Annual Report: Zoonotic events and the human–animal interface ,1,1
Waste treatment: Incineration,1,1
Waste treatment: Landfilling,1,1
Waste treatment: Recycling,1,1
