Value,Disaggregation combinations using this value,Number of indicators
DL_EXTREME,1,1
DL_HIGH,1,1
DL_LOW,1,1
DL_MEDIUM,1,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
IO_ADB,4,2
IO_AFDB,4,2
IO_ECOSOC,4,2
IO_FSB,4,2
IO_IADB,4,2
IO_IBRD,4,2
IO_IFC,4,2
IO_IMF,4,2
IO_UNGA,4,2
IO_UNSC,4,2
IO_WTO,4,2
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
