Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,2,1
Albania,2,1
Bangladesh,2,1
Belfast,1,1
Brazil,2,1
Bulgaria,2,1
China,2,1
Eritrea,2,1
Ethiopia,2,1
Gambia,2,1
Garron Point Scotland,1,1
Ghana,2,1
India,2,1
Jamaica,2,1
Kenya,2,1
Lebanon,2,1
Lithuania,2,1
London,1,1
Manchester,1,1
Nepal,2,1
Nigeria,2,1
Pakistan,2,1
Philippines,2,1
Poland,2,1
Romania,2,1
Rwanda,2,1
Sierra Leone,2,1
Somalia,2,1
South Africa,2,1
South Sudan,2,1
Sri Lanka,2,1
Thailand,2,1
Uganda,2,1
United Republic of Tanzania,2,1
Viet Nam,2,1
WCO E1,1,1
WCO L4,1,1
Zambia,2,1
Zimbabwe,2,1
