Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,5,1
Albania,5,1
Bangladesh,5,1
Belfast,1,1
Brazil,5,1
Bulgaria,5,1
China,5,1
Eritrea,4,1
Ethiopia,5,1
Gambia,5,1
Garron Point Scotland,4,1
Ghana,5,1
India,5,1
Jamaica,5,1
Kenya,5,1
Lebanon,4,1
Lithuania,5,1
London,1,1
Manchester,1,1
Nepal,5,1
Nigeria,5,1
Pakistan,5,1
Philippines,5,1
Poland,5,1
Romania,5,1
Rwanda,5,1
Sierra Leone,5,1
Somalia,5,1
South Africa,5,1
South Sudan,3,1
Sri Lanka,5,1
Thailand,5,1
Uganda,5,1
United Republic of Tanzania,5,1
Viet Nam,4,1
WCO E1,10,1
WCO L4,10,1
Zambia,5,1
Zimbabwe,5,1
