Value,Disaggregation combinations using this value,Number of indicators
0.0,5,1
0.2,9,2
0.3,8,2
0.4,3,1
11.1,5,1
11.2,5,1
124137,5,1
1282,5,1
14247,5,1
144517,5,1
1.4,5,1
15.49693,5,1
1.5,5,1
1.8,1,1
20071,5,1
205.6,5,1
20.9,5,1
2.1,1,1
2.3,5,1
2758,5,1
2.9,5,1
3.0,5,1
3080,5,1
34317,5,1
3736,5,1
3.8,4,1
3,5,1
4.5,5,1
4.70684,5,1
5018,5,1
56835,5,1
5838,5,1
64.7,5,1
6.5,5,1
66574,5,1
67302,5,1
6.9,20,1
7.1,19,1
7.4,4,1
7.6,23,2
77942,5,1
7.809,10,1
78.2,5,1
7.873,4,1
7.886,10,1
85.30549,19,1
86.3682,18,1
91.15162,6,1
9.3,5,1
9.93644,5,1
