Value,Disaggregation combinations using this value,Number of indicators
0.0,1,1
0.2,2,2
0.3,2,2
0.4,1,1
11.1,1,1
11.2,1,1
124137,1,1
1282,1,1
1.4,1,1
14247,1,1
144517,1,1
15.49693,1,1
1.5,1,1
1.8,1,1
20071,1,1
205.6,1,1
20.9,1,1
2.1,1,1
2.3,1,1
2758,1,1
2.9,1,1
3.0,1,1
3080,1,1
34317,1,1
3736,1,1
3.8,1,1
3,1,1
4.5,1,1
4.70684,1,1
5018,1,1
56835,1,1
5838,1,1
64.7,1,1
6.5,1,1
66574,1,1
67302,1,1
6.9,1,1
7.1,1,1
7.4,1,1
7.6,2,2
77942,1,1
7.809,1,1
78.2,1,1
7.873,1,1
7.886,1,1
85.30549,1,1
86.3682,1,1
91.15162,1,1
9.3,1,1
9.93644,1,1
