Value,Disaggregation combinations using this value,Number of indicators
Accommodation services for visitors,1,1
Air passenger transport services,1,1
Cultural activities,1,1
Exhibitions & Conferences etc.,1,1
Food and beverage serving activities,1,1
Other consumption products,1,1
Railway passenger transport services,1,1
Road passenger transport services,1,1
Sport and recreation activities,1,1
Transport equipment rental services,1,1
Travel agencies and other reservation services,1,1
Water passenger transport services,1,1
