Value,Disaggregation combinations using this value,Number of indicators
Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],1,1
Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
"Adjusted gender parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",2,1
"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",7,1
Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1],1,1
"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",1,1
Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics [4.5.1],2,1
"Adjusted immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",2,1
Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",7,1
Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
"Adjusted low to high socio-economic parity status index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",2,1
Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",7,1
Age-standardized mortality rate attributed to ambient air pollution [3.9.1],1,1
Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1],1,1
Agriculture orientation index for government expenditures [2.a.1],2,1
Agriculture share of Government Expenditure [2.a.1],2,1
Agriculture value added share of GDP [2.a.1],1,1
Annual broad money growth (%) [17.13.1],1,1
Annual GDP growth (%) [17.13.1],1,1
Annual growth of exports of goods and services (%) [17.13.1],1,1
Annual growth of households and NPISHs final consumption expenditure [17.13.1],1,1
Annual growth of imports of goods and services (%) [17.13.1],1,1
Annual growth of the general government final consumption expenditure (%) [17.13.1],1,1
Annual growth of the gross capital formation (%) [17.13.1],1,1
"Annual inflation, consumer prices (%) [17.13.1]",1,1
Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],6,1
Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],19,1
Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],18,1
"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",8,1
"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",8,1
Bank capital to assets ratio (%) [17.13.1],1,1
Beach litter per square kilometer (Number) [14.1.1],1,1
Broad money to total reserves ratio [17.13.1],1,1
Carbon dioxide emissions from fuel combustion [9.4.1],2,1
