Value,Disaggregation combinations using this value,Number of indicators
ADB Financial Report 2018,4,2
ADB Financial Report 2019,4,2
Adult Education Survey (AES). Data extracted on 13 April 2021.,1,1
AfDB Annual Report 2018,2,2
AfDB Annual Report 2019,2,2
African Development Bank Group Annual Report 2000,4,2
African Development Bank Group Annual Report 2005,4,2
African Development Bank Group Annual Report 2010,4,2
African Development Bank Group Annual Report 2014,4,2
African Development Bank Group Annual Report 2015,4,2
African Development Bank Group Annual Report 2016,4,2
African Development Bank Group Annual Report 2017,4,2
African Development Bank Group Annual Report 2018,2,2
African Development Bank Group Annual Report 2019,2,2
Asian Development Bank Annual Report 2000,4,2
Asian Development Bank Annual Report 2005,4,2
Asian Development Bank Annual Report 2010,4,2
Asian Development Bank Annual Report 2015,4,2
Asian Development Bank Annual Report 2016,4,2
Asian Development Bank Annual Report 2017,4,2
"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",19,1
Charter of the Financial Stability Board (2009),4,2
Charter of the Financial Stability Board (2012),4,2
CHM / WESR ,1,1
Compiled by UNECE Statistical Division and UN Women,1,1
DAD-IS 7.9.2021 http://www.fao.org/dad-is/,6,1
"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",5,1
Data from FAOSTAT extracted 20210125,1,1
Data gathered as a result of a survey,1,1
Data gathered from the latest version of NBSAP,2,1
"Data gathered through a literature search (primary sources ECOLEX, FAOLEX) and consultation with country experts",1,1
"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",2,1
England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,6,1
Environment Live,4,1
Estimate Human Fertility Database,1,1
EUROSTAT data. UNSD national account estimates,2,1
Eurostat,36,3
Eurostat.,3,1
FAO estimate based on FAOSTAT data from 2018,1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO Questionnaire. UNSD national account estimates.,2,1
FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),2,1
Financial Stability Board 3rd Annual Report,4,2
Financial Stability Board 4th Annual Report,4,2
Financial Stability Board 5th Annual Report,4,2
FSB Financial Statements March 2019,4,2
FSB Financial Statements March 2020,4,2
HS - European Health and Social Integration Survey,9,1
https://absch.cbd.int/countries,1,1
