Value,Disaggregation combinations using this value,Number of indicators
Agriculture products,3,2
Arms,3,2
Biomass (material flows),6,2
Clothing,3,2
Coal (material flows),6,2
Crop residues (material flows),6,2
Crops (material flows),6,2
Ferrous ores (material flows),6,2
Fossil fuels (material flows),6,2
Grazed biomass and fodder crops (material flows),6,2
Industrial products,3,2
Metal ores (material flows),6,2
Natural gas (material flows),6,2
Non-ferrous ores (material flows),6,2
Non-metallic minerals - construction dominant (material flows),6,2
Non-metallic minerals - industrial or agricultural dominant (material flows),6,2
Non-metallic minerals (material flows),6,2
Oil,5,2
Petroleum (material flows),6,2
Textiles,3,2
Wild catch and harvest (material flows),6,2
Wood (material flows),6,2
