Value,Disaggregation combinations using this value,Number of indicators
0.3,4,1
0.4,6,1
1.1,10,1
11.2,5,1
12.6,5,1
127.2,5,1
12.97976,5,1
13.1,5,1
1469,5,1
147.5,5,1
1.5,5,1
164158,5,1
17.7,20,1
17.8,19,1
183170,5,1
1.8,5,1
20.25599,5,1
26023,5,1
28790,5,1
30.4,5,1
320.9,5,1
33.0,18,1
3.4,5,1
41.9,5,1
4205,5,1
4288,5,1
4.3,4,1
4334,5,1
4.5,5,1
4.8,5,1
5.1,5,1
5.4,5,1
54813,5,1
5674,5,1
6.20952,5,1
7.1,1,1
77.1,5,1
78942,5,1
8.101,10,1
8.153,10,1
8.164,4,1
8.4,5,2
84396,5,1
85216,5,1
85.30549,19,1
8622,5,1
86.3682,18,1
91.15162,6,1
9.3,5,1
98775,5,1
