Value,Disaggregation combinations using this value,Number of indicators
0.1,1,1
0.2,2,1
0.3,4,1
0.4,2,1
0.5,1,1
0.96429,1,1
0.96433,1,1
0.96436,1,1
0.96471,1,1
0.96472,1,1
0.96506,1,1
0.96532,1,1
0.96538,1,1
0.96544,1,1
0.96563,1,1
0.96565,1,1
0.96652,1,1
0.96666,1,1
0.96669,1,1
0.9667,1,1
0.96688,1,1
0.9672,1,1
0.96746,1,1
0.96764,1,1
0.96799,1,1
0.96831,1,1
0.96856,1,1
0.9687,1,1
0.96902,1,1
0.96903,1,1
0.96953,1,1
0.96968,1,1
0.97014,1,1
0.97072,1,1
10,2,2
100397,1,1
105536,1,1
10.6,1,1
10.7,1,1
107666,1,1
10.8,4,2
10.9,3,1
11.0,5,1
11.1,3,1
11.2,2,2
11.3,3,1
11.5,2,1
11.7,2,1
11.8,2,1
1.1,2,1
11,3,2
1.2,1,1
12.0,1,1
120.3,1,1
12.1,1,1
121263,1,1
12.2,1,1
12.3,2,2
123031,1,1
12.4,1,1
12.5,1,1
12.6,2,2
12.6509,1,1
127.2,1,1
1278,1,1
12.97976,1,1
12,3,2
1.3,1,1
13.0,1,1
13.1,2,2
1323,1,1
13.3,1,1
13.4,1,1
135384,1,1
136.3,1,1
1364,1,1
13.69353,1,1
13.7,1,1
137.7,1,1
13.9,1,1
13,2,1
14.0,1,1
14.1,1,1
14.4,1,1
1469,1,1
147.5,1,1
14.9,1,1
14,1,1
15.0,1,1
153.8,1,1
1540,1,1
15.80084,1,1
15.88111,1,1
15.9,1,1
1.5,2,2
15,3,2
16,1,1
16.2,1,1
162.6,1,1
16.3,1,1
164107,1,1
164158,1,1
166.4,1,1
168210,1,1
17,1,1
17.3,1,1
176664,1,1
17.7,1,1
17.8,1,1
1.8,2,2
183170,1,1
184.0,1,1
185033,1,1
187546,1,1
189.9,1,1
18,1,1
190.3,1,1
19.83932,1,1
2,1,1
20.25599,1,1
202905,1,1
20.9,1,1
21.47234,1,1
2.2,1,1
230697,1,1
237.3,1,1
23968,1,1
2.3,2,1
2.4,1,1
24.68279,1,1
24778,1,1
2.5,2,1
25.03481,1,1
256647,1,1
26023,1,1
26.1,1,1
26148,1,1
26.3,1,1
26.4,1,1
26.5,1,1
26.7,1,1
27.0,2,1
272.3,1,1
27.4,1,1
27410,1,1
27.5,1,1
27781,1,1
27878,1,1
27.9,2,1
2.8,1,1
28.4,2,1
28790,1,1
29.1,1,1
29.2,1,1
29740,1,1
30.4,2,2
30701,1,1
3.1,2,2
31.3,1,1
320.9,1,1
3.3,1,1
33.0,1,1
33.2,1,1
3412,1,1
3429,1,1
3.4,1,1
3.5,2,1
35.0,1,1
3515,1,1
3632,1,1
3.7,1,1
3859,1,1
3912,1,1
3958,1,1
396.1,1,1
3973,1,1
3.9,1,1
4,1,1
4010,1,1
4196,1,1
41.9,1,1
4205,1,1
4230,1,1
4288,1,1
4334,1,1
4.3,1,1
447.6,1,1
4574,1,1
4.5,2,2
4.6,1,1
4.7,1,1
485.3,1,1
48746,1,1
4.8,1,1
490.8,1,1
4955,1,1
4.9,1,1
5190,1,1
5.1,2,2
5223,1,1
53928,1,1
54813,1,1
5.4,1,1
55288,1,1
5674,1,1
5.8,1,1
5.9,1,1
6.03148,1,1
60441,1,1
60.6,1,1
60.8,1,1
6114,1,1
6.2,1,1
6.20952,1,1
64.5,1,1
6.61402,1,1
66.7,1,1
6.7,1,1
6.8,1,1
6.9,1,1
7.0,1,1
71.96096,1,1
7.1,1,1
7.2,1,1
7.3,1,1
7387,1,1
7422,1,1
7.5,1,1
77.02029,1,1
77.02725,1,1
77.1083,1,1
7711,1,1
77.1,1,1
7.79298,1,1
78.13739,1,1
7.81548,1,1
78.77889,1,1
78.79135,1,1
78.8828,1,1
78942,1,1
79.24432,1,1
79.38702,1,1
79492,1,1
8,3,1
80.54966,1,1
8.067,1,1
8.072,1,1
80.86297,1,1
8.089,1,1
80986,1,1
8.101,1,1
8.103,1,1
8.118,1,1
81.19204,1,1
81.22215,1,1
81.22466,1,1
81.38046,1,1
8.153,1,1
8.164,1,1
8.166,1,1
8.171,1,1
8.175,1,1
8.179,1,1
8.187,1,1
8204,1,1
8.211,2,1
8.213,1,1
8.215,1,1
8.218,1,1
8.237,1,1
82.48652,1,1
8.254,1,1
8.259,1,1
8.261,1,1
82.71935,1,1
82.73546,1,1
82.74292,1,1
82.75954,1,1
82.86016,1,1
8.291,1,1
82.98904,1,1
82.9958,1,1
8.2,1,1
8.307,1,1
83.31113,1,1
83.32763,1,1
83419,1,1
84.06727,1,1
84.0926,1,1
84.12355,1,1
84.23937,1,1
84.28778,1,1
84.2907,2,1
84396,1,1
84.4379,1,1
84.48695,1,1
84.48766,1,1
84616,1,1
84.99556,1,1
8.4,2,2
8.5,1,1
85216,1,1
85.28643,1,1
85.30549,1,1
85.78108,1,1
85.80697,1,1
85.80858,1,1
85.9,1,1
85.91679,1,1
85.91718,1,1
86.19733,1,1
8622,1,1
86.35768,1,1
86.3682,1,1
87149,1,1
87224,1,1
8.8,1,1
88.19697,1,1
88.19762,1,1
88.50205,1,1
88.50284,1,1
8.9,1,1
89.91778,1,1
90.0184,1,1
90.02515,1,1
91.15162,1,1
92045,1,1
92988,1,1
93245,1,1
93.3,1,1
9.3,2,2
96.3,1,1
97369,1,1
9.8,2,2
98775,1,1
9,1,1
